鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大同區,房地(土地+建物),臺北市大同區南京西路91~120號,6.34,住,,,1040303,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831111,55.19,1,1,1,有,有,12900000,233738,,0,0,,RPPOMLMKPHMFFBA57CA
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷3弄1~30號,4.96,商,,,1050817,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,850705,38.79,1,1,1,有,有,4300000,110853,,0,0,,RPSNMLTJRHLFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段91~120號,13.72,商,,,1050811,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970130,149.24,3,2,2,有,有,24000000,160815,坡道平面,12.96,0,,RPPOMLRJIILFFCA37CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷91~120號,22.45,住,,,1050724,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970723,136.2,3,2,1,有,有,20300000,149046,坡道平面,34.6,0,,RPSOMLKKRHLFFCA97DA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街121~150號,33.51,其他,,,1050529,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931130,242.78,5,2,2,有,有,47880000,197216,坡道平面,51.07,0,,RPQNMLLKRHLFFCA77DA
內湖區,房地(土地+建物),臺北市內湖區舊宗路一段31~60號,15.12,商,,,1050724,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,920910,47.74,2,2,2,有,有,12280000,257227,,0,0,含增建或未登記建物。,RPOQMLOKRHLFFCA18DA
內湖區,房地(土地+建物),臺北市內湖區港墘路82巷7弄1~30號,27.44,住,,,1050715,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731204,115.29,4,2,2,有,無,13800000,119698,,0,0,,RPRNMLNKRHLFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區港華街51巷8弄1~30號,16.9,住,,,1050718,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971017,133.73,3,1,2,有,無,21500000,160772,坡道機械,0,0,,RPUNMLTKRHLFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段391~420號,23.43,住,,,1050811,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940914,142.73,2,1,2,有,有,23880000,167309,坡道平面,37.71,0,含增建或未登記建物。,RPPNMLNLRHLFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段421~450號,28.03,住,,,1050801,土地1建物1車位1,四層，五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870925,170.77,3,1,2,有,有,27500000,161035,坡道平面,38,0,,RPUOMLKMRHLFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街61~90號,31.4,住,,,1050613,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040522,167.03,2,2,1,有,有,28200000,220220,坡道平面,47.15,1800000,,RPVOMLTJRHLFFCA98CA
內湖區,房地(土地+建物)+車位,臺北市內湖區舊宗路一段31~60號,17.71,商,,,1050724,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,920910,69.59,1,1,1,有,有,13000000,186808,坡道機械,0,0,價格含增建.車位面積無法概算,RPVQMLTJRHLFFCA56CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段285巷69弄1~30號,24.22,住,,,1050703,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720604,101.13,3,2,2,有,無,13100000,129536,,0,0,價格含增建,RPXQMLTJRHLFFCA76CA
內湖區,房地(土地+建物),臺北市內湖區星雲街210巷31~60號,21.46,住,,,1050727,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891101,94.37,2,2,2,有,有,19500000,206633,,0,0,,RPUNMLKKRHLFFCA97CA
內湖區,房地(土地+建物),臺北市內湖區康寧路三段265巷1~30號,23.14,住,,,1050728,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730724,82.78,4,2,2,有,無,9080000,109688,,0,0,含增建或未登記建物。,RPPNMLMKRHLFFCA67CA
內湖區,房地(土地+建物),臺北市內湖區成功路四段31~60號,11.17,商,,,1050720,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781107,130.76,7,0,5,有,有,26580000,203273,,0,0,,RPVQMLLLRHLFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段331~360號,33.48,住,,,1050419,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031023,201.68,3,2,2,有,有,42120000,208846,坡道機械,26.37,0,,RPWOMLNJIILFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段331~360號,33.48,住,,,1050419,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031023,201.68,3,2,2,有,有,42880000,212614,坡道機械,26.37,0,,RPXOMLNJIILFFCA77CA
內湖區,房地(土地+建物),臺北市內湖區東湖路16巷1~30號,21.07,商,,,1050618,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750807,65.52,3,2,1,有,無,11500000,175519,,0,0,登記兩人共同持有。含增建或未登記建物。,RPWRMLLLRHLFFCA88DA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段173巷3弄1~30號,23.75,住,,,1050731,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710226,100.27,3,2,2,有,無,12660000,126259,,0,0,,RPROMLMKRHLFFCA08DA
內湖區,房地(土地+建物),臺北市內湖區金湖路331~360號,14.08,住,,,1050723,土地1建物1車位0,三層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,880824,60.21,1,2,1,有,有,12400000,205946,,0,0,,RPXOMLKKRHLFFCA48DA
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街219巷61~90號,37.59,住,,,1050806,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760410,118.44,4,2,2,有,有,12660000,106881,,0,0,,RPVNMLNKRHLFFCA48DA
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路61~90號,79.35,其他,,,1050713,土地1建物1車位2,五層,七層,廠辦,見其他登記事項,鋼筋混凝土造,1010626,360.44,0,0,0,無,有,47750000,132477,坡道平面,66.32,0,,RPTQMLPJIILFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路61~90號,149.14,其他,,,1050713,土地1建物1車位3,五層,七層,廠辦,見其他登記事項,鋼筋混凝土造,1010626,652.14,0,0,0,無,有,88550000,135784,坡道平面,99.48,0,,RPUQMLPJIILFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區成功路二段312巷31~60號,33.22,住,,,1050829,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740702,177.9,3,1,1,有,有,24500000,137718,,0,0,,RPRNMLTLRHLFFCA68CA
內湖區,土地,大湖段四小段331~360地號,3857.42,其他,,,1050826,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1500000,389,,0,0,受債權債務影響或債務抵償之交易。,RPOQMLNKRHLFFCA97CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段661~690號,29.55,商,,,1050807,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670828,80.99,3,1,1,有,無,12250000,151253,,0,0,價格含增建。,RPXNMLMKRHLFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區南京東路六段121~150號,49.24,住,,,1050805,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860526,129.81,2,2,2,有,有,14680000,113088,,0,0,含增建或未登記建物。,RPSQMLNKRHLFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段280巷155弄211~240號,14.87,住,,,1050831,土地1建物1車位0,九層，八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860710,43.1,2,1,1,有,有,7500000,174014,,0,0,,RPWPMLNKRHLFFCA68CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段121~150號,4.86,商,,,1050802,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,960621,48.77,1,1,1,有,有,9150000,187615,,0,0,共有人數2人含增建或未登記建物。,RPXPMLNKRHLFFCA78CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段629巷12弄1~30號,24.86,住,,,1050816,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701015,86.77,7,0,7,有,無,14500000,167108,,0,0,含增建或未登記建物。,RPXQMLTLRHLFFCA96CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段56巷1弄1~30號,15.87,住,,,1050706,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,721013,91.15,3,2,1,有,有,18500000,202962,,0,0,,RPTPMLMKRHLFFCA38DA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段601~630號,31.04,住,,,1050728,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701015,98.43,3,2,2,有,無,13750000,139693,,0,0,,RPQNMLSKRHLFFCA48DA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段285巷1~30號,35.9,商,,,1050801,土地1建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730421,125.88,4,2,2,有,無,20000000,158881,,0,0,親友、員工或其他特殊關係間之交易。,RPQNMLTKRHLFFCA58DA
內湖區,房地(土地+建物),臺北市內湖區東湖路113巷61~90號,30.07,住,,,1050820,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741004,112.18,3,2,2,有,無,10680000,95204,,0,0,含增建或未登記建物。,RPUOMLLLRHLFFCA38DA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路二段317巷1~30號,21.14,商,,,1050907,土地1建物2車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040630,282.9,3,2,2,有,有,43300000,184925,坡道平面,69.3,3800000,,RPRQMLKMRHLFFCA18CA
內湖區,車位,臺北市內湖區瑞光路181~210號,3.52,工,,,1050823,土地0建物0車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,900402,40,0,0,0,有,有,1750000,,坡道平面,31.41,1750000,,RPSQMLLLRHLFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路二段451~480號,31.86,住,,,1050828,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870911,242.97,4,2,2,有,有,29600000,121826,坡道平面,41.58,0,,RPRPMLNKRHLFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區成功路四段223巷15弄1~30號,29.06,住,,,1050820,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720323,103.34,2,2,1,有,無,13200000,127734,,0,0,,RPTPMLNKRHLFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段90巷25弄1~30號,28.34,住,,,1050804,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,691103,184.14,2,1,2,有,無,20500000,111328,,0,0,含增建或未登記建物。,RPPPMLOKRHLFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段387巷1弄1~30號,24.3,住,,,1050731,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690806,83.94,3,2,1,有,無,11100000,132237,,0,0,,RPUPMLOKRHLFFCA58CA
